[21/02/2021 02:09:42] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:24:11 |test730_batman_synthesise_earth     |batman_synthesis  |test730_earth_batman.gz                       |     0.19|     0.19|     0.19|{"index": "000000", "null": 0}
2021-02-18 04:24:11 |test730_batman_synthesise_earth     |write_lc          |test730_earth_batman.gz                       |    10.37|    10.34|    10.34|{"index": "000000", "null": 0}
2021-02-18 04:24:21 |test730_batman_synthesise_earth     |load_lc           |test730_earth_batman.gz                       |     4.30|     4.27|     4.27|{"index": "000000", "null": 0}
2021-02-18 04:24:26 |test730_batman_synthesise_earth     |verify            |test730_earth_batman.gz                       |     3.17|     3.17|     3.17|{"index": "000000", "null": 0}
2021-02-18 04:24:29 |test015_batman                      |batman_synthesis  |test015_batman_900_tls.gz                     |     0.00|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:29 |test015_batman                      |write_lc          |test015_batman_900_tls.gz                     |     0.02|     0.02|     0.02|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:29 |test015_batman                      |load_lc           |test015_batman_900_tls.gz                     |     0.01|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:29 |test015_batman                      |verify            |test015_batman_900_tls.gz                     |     0.01|     0.01|     0.01|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:29 |test015_batman                      |load_lc           |test015_batman_900_tls.gz                     |     0.01|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:29 |test015_batman                      |transit_detection |test015_batman_900_tls.gz                     |     3.13|     0.81|    31.37|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:32 |test015_batman                      |batman_synthesis  |test015_batman_25_tls.gz                      |     0.00|     0.00|     0.00|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:32 |test015_batman                      |write_lc          |test015_batman_25_tls.gz                      |     0.47|     0.46|     0.46|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:33 |test015_batman                      |load_lc           |test015_batman_25_tls.gz                      |     0.11|     0.11|     0.11|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:34 |test015_batman                      |verify            |test015_batman_25_tls.gz                      |     0.09|     0.09|     0.09|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:34 |test015_batman                      |load_lc           |test015_batman_25_tls.gz                      |     0.11|     0.11|     0.11|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:34 |test015_batman                      |transit_detection |test015_batman_25_tls.gz                      |    13.80|     5.57|   140.24|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:48 |test015_batman                      |batman_synthesis  |test015_batman_900_bls_reference.gz           |     0.00|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:24:48 |test015_batman                      |write_lc          |test015_batman_900_bls_reference.gz           |     0.02|     0.02|     0.02|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:24:48 |test015_batman                      |load_lc           |test015_batman_900_bls_reference.gz           |     0.01|     0.01|     0.01|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:24:48 |test015_batman                      |verify            |test015_batman_900_bls_reference.gz           |     0.00|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:24:48 |test015_batman                      |load_lc           |test015_batman_900_bls_reference.gz           |     0.01|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:24:48 |test015_batman                      |transit_detection |test015_batman_900_bls_reference.gz           |     0.10|     0.10|     0.10|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:24:48 |test015_batman                      |batman_synthesis  |test015_batman_25_bls_reference.gz            |     0.00|     0.00|     0.00|{"index": "000003", "tda": "bls_reference", "cadence": 25}
2021-02-18 04:24:48 |test015_batman                      |write_lc          |test015_batman_25_bls_reference.gz            |     0.48|     0.47|     0.47|{"index": "000003", "tda": "bls_reference", "cadence": 25}
2021-02-18 04:24:49 |test015_batman                      |load_lc           |test015_batman_25_bls_reference.gz            |     0.11|     0.10|     0.10|{"index": "000003", "tda": "bls_reference", "cadence": 25}
2021-02-18 04:24:49 |test015_batman                      |verify            |test015_batman_25_bls_reference.gz            |     0.07|     0.07|     0.07|{"index": "000003", "tda": "bls_reference", "cadence": 25}
2021-02-18 04:24:49 |test015_batman                      |load_lc           |test015_batman_25_bls_reference.gz            |     0.11|     0.10|     0.10|{"index": "000003", "tda": "bls_reference", "cadence": 25}
2021-02-18 04:24:49 |test015_batman                      |transit_detection |test015_batman_25_bls_reference.gz            |     1.07|     1.07|     1.07|{"index": "000003", "tda": "bls_reference", "cadence": 25}
2021-02-18 04:24:50 |test015_batman                      |batman_synthesis  |test015_batman_900_bls_kovacs.gz              |     0.00|     0.00|     0.00|{"index": "000004", "tda": "bls_kovacs", "cadence": 900}
2021-02-18 04:24:50 |test015_batman                      |write_lc          |test015_batman_900_bls_kovacs.gz              |     0.02|     0.02|     0.02|{"index": "000004", "tda": "bls_kovacs", "cadence": 900}
2021-02-18 04:24:50 |test015_batman                      |load_lc           |test015_batman_900_bls_kovacs.gz              |     0.01|     0.00|     0.00|{"index": "000004", "tda": "bls_kovacs", "cadence": 900}
2021-02-18 04:24:50 |test015_batman                      |verify            |test015_batman_900_bls_kovacs.gz              |     0.01|     0.01|     0.01|{"index": "000004", "tda": "bls_kovacs", "cadence": 900}
2021-02-18 04:24:51 |test015_batman                      |load_lc           |test015_batman_900_bls_kovacs.gz              |     0.01|     0.00|     0.00|{"index": "000004", "tda": "bls_kovacs", "cadence": 900}
2021-02-18 04:24:51 |test015_batman                      |transit_detection |test015_batman_900_bls_kovacs.gz              |     0.02|     0.02|     0.02|{"index": "000004", "tda": "bls_kovacs", "cadence": 900}
2021-02-18 04:24:51 |test015_batman                      |batman_synthesis  |test015_batman_25_bls_kovacs.gz               |     0.00|     0.00|     0.00|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:24:51 |test015_batman                      |write_lc          |test015_batman_25_bls_kovacs.gz               |     0.47|     0.47|     0.47|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:24:51 |test015_batman                      |load_lc           |test015_batman_25_bls_kovacs.gz               |     0.11|     0.11|     0.11|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:24:51 |test015_batman                      |verify            |test015_batman_25_bls_kovacs.gz               |     0.07|     0.07|     0.07|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:24:51 |test015_batman                      |load_lc           |test015_batman_25_bls_kovacs.gz               |     0.11|     0.11|     0.11|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:24:52 |test015_batman                      |transit_detection |test015_batman_25_bls_kovacs.gz               |     0.52|     0.52|     0.52|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:24:52 |test015_batman_null                 |batman_synthesis  |test015_batman_null_900_tls.gz                |     0.00|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:52 |test015_batman_null                 |write_lc          |test015_batman_null_900_tls.gz                |     0.02|     0.02|     0.02|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:52 |test015_batman_null                 |load_lc           |test015_batman_null_900_tls.gz                |     0.01|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:52 |test015_batman_null                 |verify            |test015_batman_null_900_tls.gz                |     0.01|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:52 |test015_batman_null                 |load_lc           |test015_batman_null_900_tls.gz                |     0.01|     0.00|     0.00|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:52 |test015_batman_null                 |transit_detection |test015_batman_null_900_tls.gz                |     2.82|     0.63|    29.57|{"index": "000000", "tda": "tls", "cadence": 900}
2021-02-18 04:24:55 |test015_batman_null                 |batman_synthesis  |test015_batman_null_25_tls.gz                 |     0.00|     0.00|     0.00|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:55 |test015_batman_null                 |write_lc          |test015_batman_null_25_tls.gz                 |     0.47|     0.47|     0.47|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:56 |test015_batman_null                 |load_lc           |test015_batman_null_25_tls.gz                 |     0.11|     0.10|     0.10|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:56 |test015_batman_null                 |verify            |test015_batman_null_25_tls.gz                 |     0.07|     0.07|     0.07|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:56 |test015_batman_null                 |load_lc           |test015_batman_null_25_tls.gz                 |     0.11|     0.11|     0.11|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:24:56 |test015_batman_null                 |transit_detection |test015_batman_null_25_tls.gz                 |    13.82|     7.89|   119.83|{"index": "000001", "tda": "tls", "cadence": 25}
2021-02-18 04:25:10 |test015_batman_null                 |batman_synthesis  |test015_batman_null_900_bls_reference.gz      |     0.00|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:25:10 |test015_batman_null                 |write_lc          |test015_batman_null_900_bls_reference.gz      |     0.02|     0.02|     0.02|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:25:10 |test015_batman_null                 |load_lc           |test015_batman_null_900_bls_reference.gz      |     0.01|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:25:10 |test015_batman_null                 |verify            |test015_batman_null_900_bls_reference.gz      |     0.00|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
2021-02-18 04:25:10 |test015_batman_null                 |load_lc           |test015_batman_null_900_bls_reference.gz      |     0.01|     0.00|     0.00|{"index": "000002", "tda": "bls_reference", "cadence": 900}
