[22/02/2021 21:28:07] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:29:37 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000000.gz                      |     0.00|     0.00|     0.00|{"index": "000000", "cadence": 900, "size": 0.01}
2021-02-18 04:29:38 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000000.gz                      |     0.05|     0.02|     0.02|{"index": "000000", "cadence": 900, "size": 0.01}
2021-02-18 04:29:38 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000000.gz                      |    12.75|    10.68|   138.49|{"index": "000000", "cadence": 900, "size": 0.01}
2021-02-18 04:29:38 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000001.gz                      |     0.00|     0.00|     0.00|{"index": "000001", "cadence": 900, "size": 0.011088252403758783}
2021-02-18 04:29:38 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000001.gz                      |     0.06|     0.02|     0.02|{"index": "000001", "cadence": 900, "size": 0.011088252403758783}
2021-02-18 04:29:39 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000001.gz                      |    17.23|    11.78|   141.17|{"index": "000001", "cadence": 900, "size": 0.011088252403758783}
2021-02-18 04:29:39 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000002.gz                      |     0.00|     0.00|     0.00|{"index": "000002", "cadence": 900, "size": 0.012294934136946248}
2021-02-18 04:29:40 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000002.gz                      |     0.14|     0.02|     0.02|{"index": "000002", "cadence": 900, "size": 0.012294934136946248}
2021-02-18 04:29:40 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000003.gz                      |     0.00|     0.00|     0.00|{"index": "000003", "cadence": 900, "size": 0.013632933299805016}
2021-02-18 04:29:40 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000004.gz                      |     0.00|     0.00|     0.00|{"index": "000004", "cadence": 900, "size": 0.01511654054318462}
2021-02-18 04:29:40 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000002.gz                      |    15.95|    12.32|   142.15|{"index": "000002", "cadence": 900, "size": 0.012294934136946248}
2021-02-18 04:29:40 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000003.gz                      |     0.08|     0.02|     0.02|{"index": "000003", "cadence": 900, "size": 0.013632933299805016}
2021-02-18 04:29:40 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000004.gz                      |     0.08|     0.02|     0.02|{"index": "000004", "cadence": 900, "size": 0.01511654054318462}
2021-02-18 04:29:41 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000005.gz                      |     0.00|     0.00|     0.00|{"index": "000005", "cadence": 900, "size": 0.016761601701448397}
2021-02-18 04:29:41 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000003.gz                      |    14.76|    12.21|   139.67|{"index": "000003", "cadence": 900, "size": 0.013632933299805016}
2021-02-18 04:29:41 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000004.gz                      |    14.23|    11.90|   142.57|{"index": "000004", "cadence": 900, "size": 0.01511654054318462}
2021-02-18 04:29:41 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000005.gz                      |     0.11|     0.02|     0.02|{"index": "000005", "cadence": 900, "size": 0.016761601701448397}
2021-02-18 04:29:42 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000005.gz                      |    12.87|    10.70|   140.96|{"index": "000005", "cadence": 900, "size": 0.016761601701448397}
2021-02-18 04:29:51 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000006.gz                      |     0.00|     0.00|     0.00|{"index": "000006", "cadence": 900, "size": 0.018585687035693257}
2021-02-18 04:29:51 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000006.gz                      |     0.06|     0.02|     0.02|{"index": "000006", "cadence": 900, "size": 0.018585687035693257}
2021-02-18 04:29:51 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000006.gz                      |    14.10|    12.04|   137.66|{"index": "000006", "cadence": 900, "size": 0.018585687035693257}
2021-02-18 04:29:55 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000007.gz                      |     0.00|     0.00|     0.00|{"index": "000007", "cadence": 900, "size": 0.02060827889490342}
2021-02-18 04:29:55 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000007.gz                      |     0.05|     0.02|     0.02|{"index": "000007", "cadence": 900, "size": 0.02060827889490342}
2021-02-18 04:29:55 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000007.gz                      |    14.23|    12.15|   140.82|{"index": "000007", "cadence": 900, "size": 0.02060827889490342}
2021-02-18 04:29:55 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000008.gz                      |     0.00|     0.00|     0.00|{"index": "000008", "cadence": 900, "size": 0.022850979799374435}
2021-02-18 04:29:56 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000008.gz                      |     0.10|     0.02|     0.02|{"index": "000008", "cadence": 900, "size": 0.022850979799374435}
2021-02-18 04:29:56 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000009.gz                      |     0.00|     0.00|     0.00|{"index": "000009", "cadence": 900, "size": 0.0253377431688657}
2021-02-18 04:29:56 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000008.gz                      |    13.89|    11.78|   139.71|{"index": "000008", "cadence": 900, "size": 0.022850979799374435}
2021-02-18 04:29:56 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000010.gz                      |     0.00|     0.00|     0.00|{"index": "000010", "cadence": 900, "size": 0.02809512915979979}
2021-02-18 04:29:56 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000009.gz                      |     0.06|     0.02|     0.02|{"index": "000009", "cadence": 900, "size": 0.0253377431688657}
2021-02-18 04:29:57 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000010.gz                      |     0.07|     0.02|     0.02|{"index": "000010", "cadence": 900, "size": 0.02809512915979979}
2021-02-18 04:29:57 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000011.gz                      |     0.00|     0.00|     0.00|{"index": "000011", "cadence": 900, "size": 0.03115258834400635}
2021-02-18 04:29:57 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000009.gz                      |    13.87|    11.68|   137.05|{"index": "000009", "cadence": 900, "size": 0.0253377431688657}
2021-02-18 04:29:57 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000011.gz                      |     0.12|     0.02|     0.02|{"index": "000011", "cadence": 900, "size": 0.03115258834400635}
2021-02-18 04:29:57 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000010.gz                      |    17.69|    11.41|   137.16|{"index": "000010", "cadence": 900, "size": 0.02809512915979979}
2021-02-18 04:29:58 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000011.gz                      |    15.60|    10.64|   139.30|{"index": "000011", "cadence": 900, "size": 0.03115258834400635}
2021-02-18 04:30:06 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000012.gz                      |     0.00|     0.00|     0.00|{"index": "000012", "cadence": 900, "size": 0.03454277625887364}
2021-02-18 04:30:06 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000012.gz                      |     0.06|     0.02|     0.02|{"index": "000012", "cadence": 900, "size": 0.03454277625887364}
2021-02-18 04:30:06 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000012.gz                      |    13.87|    11.86|   139.15|{"index": "000012", "cadence": 900, "size": 0.03454277625887364}
2021-02-18 04:30:10 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000013.gz                      |     0.00|     0.00|     0.00|{"index": "000013", "cadence": 900, "size": 0.038301902188495746}
2021-02-18 04:30:10 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000013.gz                      |     0.08|     0.02|     0.02|{"index": "000013", "cadence": 900, "size": 0.038301902188495746}
2021-02-18 04:30:10 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000013.gz                      |    11.95|     9.74|   138.52|{"index": "000013", "cadence": 900, "size": 0.038301902188495746}
